set,tier,name,traits,apiName,desc
0,1-Silver,Extra Buckles,,TFT_Augment_ComponentQuestBelt_PAIRS,"Gain a Giant's Belt. After your team takes 90000 damage, gain 2 more. Damage taken: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Extra Buckles,,TFT_Augment_ComponentQuestBelt,"Gain a Giant's Belt. After your team takes 75000 damage, gain 2 more. Damage taken: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Eye For An Eye,,TFT_Augment_EyeForAnEye,"For every 15 ally champions that die, gain a random component (max 3). Deaths Remaining: [TFTUnitProperty.item:TFT_Augment_EyeForAnEyeDeaths]"
0,1-Silver,Eye For An Eye+,,TFT_Augment_EyeForAnEyePlus,"Gain a random component. For every 18 ally champions that die, gain another component (max 2). Deaths Remaining: [TFTUnitProperty.item:TFT_Augment_EyeForAnEyeDeaths]"
0,1-Silver,Feeling Lucky,,TFT_Augment_FeelingLucky,"Gain 12 gold, then flip a coin. If heads, gain 4 more gold. [TFTUnitProperty.item:TFT_Augment_FeelingLucky_Tooltip]"
0,1-Silver,Final Resistance,,TFT_Augment_FinalResistance,"Each time an allied champion dies, 30% Shred and Sunder the nearest 4 enemies for 6 seconds. Shred: reduces Magic Resist, Sunder: reduces Armor"
0,1-Silver,Find Your Center,,TFT_Augment_FindYourCenter,Your champion that starts combat in the center of the front row gains 15% Damage Amp and 25% max Health.
0,1-Silver,Firesale,,TFT_Augment_FiresalePlus,"Each round, steal a random 3-cost or lower champion from the shop. Gain 1 gold."
0,1-Silver,Firesale,,TFT_Augment_Firesale,"Each round, steal a random [CostLimit]-cost or lower champion from the shop. Gain 1 gold."
0,1-Silver,Flowing Tears,,TFT_Augment_ComponentQuestTear_PAIRS,"Gain a Tear of the Goddess. After your team spends 7800 Mana, gain 2 more. Mana spent: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Flowing Tears,,TFT_Augment_ComponentQuestTear,"Gain a Tear of the Goddess. After your team spends 6500 Mana, gain 2 more. Mana spent: [TFTUnitProperty.item:TFT_Augment_ComponentQuest_Tracker]"
0,1-Silver,Focused Fire,,TFT_Augment_MarksMan,"Your team gains 10% Attack Damage. Every 5 seconds, they gain 5% more."
0,1-Silver,Glass Cannon I,,TFT_Augment_GlassCannonI,Allies that start combat in the back row begin combat at 80.0% Health but gain 15% Damage Amp.
0,1-Silver,Group Hug I,,TFT_Augment_GroupHug1,Combat start: Allies grant other adjacent allies 6 Armor and Magic Resist. This effect stacks.
0,1-Silver,Health is Wealth I,,TFT_Augment_WealthyRehab1,Your team gains 10% Omnivamp. Get a bonus of 8 gold when your team first accumulates 10000 total champion healing. Total Healing: [TFTUnitProperty.item:TFT_Augment_WealthyRehabHealing]
0,1-Silver,Instant Gratification,,TFT_Augment_InstantGratification,The first copy of each unlockable 1- 3 cost champion you purchase is upgraded to 2-star. Gain 8 gold.
0,1-Silver,Item Collector I,,TFT_Augment_ItemCollector1,"For each unique item they are holding, your team gains 0% Attack Damage and 1% Ability Power."
0,1-Silver,Item Ladder,,TFT_Augment_ItemLadder,Gain a temporary item that unequips and transforms at the start of each round. The item quality increases each Stage.
0,1-Silver,Kick Start,,TFT_Augment_KickStart,Gain a random 2-star 2-cost champion and 1 gold.
0,1-Silver,Kingslayer,,TFT_Augment_Kingslayer,"Now and after every player combat, gain 1 gold. If you win against a player who had more health than you, gain 6 gold instead."
0,1-Silver,Lineup,,TFT_Augment_Lineup,Your team gains 2 Armor and Magic Resist for each ally that starts combat in the front two rows.
0,1-Silver,Lit Fuse,,TFT_Augment_Incoming,Allies that start in the back two rows split 60 total Mana after 6 seconds of combat.
0,1-Silver,Lone Hero,,TFT_Augment_LoneHero,Your last surviving champion gains 140.0% Attack Speed and 34% Durability
0,1-Silver,Manaflow I,,TFT_Augment_Manaflow1,Your allies that start combat in the back row gain 2 additional Mana per attack.
0,1-Silver,Mentorship I,,TFT_Augment_Mentorship1,"If an ally starts combat next to a higher-cost ally, it gains 10% Attack Speed and 100 Health."
0,1-Silver,On The House,,TFT_Augment_OnTheHouse,"Whenever you star up a champion, gain [gold] gold. Gain 4 gold now."
0,1-Silver,On a Roll,,TFT_Augment_Waverider,"Whenever you star up a champion that you fielded last combat, gain [NumRolls] free Shop rerolls. Gain 6 gold."
0,1-Silver,One For All I,,TFT_Augment_AllForOneI,Your team gains 1% max Health and 0% Damage Amp for each unique one-cost champion on your board. Gain 2 one-costs.
0,1-Silver,Page of Swords,,TFT_Augment_PageOfSwords,Gain 2 B.F. Swords.
0,1-Silver,Patience is a Virtue,,TFT_Augment_PatienceIsAVirtue,"Gain 4 rerolls now. Each round, gain 1 free rerolls if you did not buy a champion last round."
0,1-Silver,Petricite Armor I,,TFT_Augment_PetriciteArmorI,Your team takes 9% reduced damage from champion abilities.
0,1-Silver,Placebo,,TFT_Augment_Placebo,Your team gains 0% Attack Speed. Gain 8 gold.
0,1-Silver,Placebo+,,TFT_Augment_PlaceboPlus,Your team gains 0% Attack Speed. Gain 14 gold.
0,1-Silver,Pocket Recombobulator,,TFT_Augment_PocketRecombobulator,"Get 2 Pocket Recombobulators, a consumable that transforms a 1 or 2-cost champion into one of a higher cost. They keep their Star level. Also receive 2 Reforgers."
0,1-Silver,Precise Planning,,TFT_Augment_PerfectLoss,"When you win or lose combat by 4 or fewer units, gain [GoldToGive] gold next round."
0,1-Silver,Precise Smithing,,TFT_Augment_PreciseSmithing,"Reforging items and Artifacts grants an anvil of the same value instead. Gain 1 component and 2 reforger now, and 1 reforgers every stage. Includes components and Radiant Items, but does not affect Emblems or Tactician's Items."
0,1-Silver,Reroll Transfer,,TFT_Augment_RerollTransfer,"For every 1 unused Augment Reroll, gain 3 free shop rerolls. Gain 1 gold. Does not include the round this augment is selected."
0,1-Silver,Restart Mission,,TFT_Augment_RestartMission,"Remove all champions on your board and bench. Gain 2 random 2-star 3-costs, 2 2-star 2-costs, and 1 2-star 1-cost champion."
0,1-Silver,Rigged Shop,,TFT_Augment_RiggedShop,Your next shop and every [NumRolls] shops will contain all 3-cost champions.
0,1-Silver,Rigged Shop+,,TFT_Augment_RiggedShopPlus,Your next shop and every [NumRolls] shops will contain all 3-cost champions. Gain 5 rerolls.
0,1-Silver,Silver Destiny,,TFT_Augment_SilverDestiny,Gain a random Silver Augment and 2 gold.
0,1-Silver,Silver Destiny+,,TFT_Augment_SilverDestinyPlus,Gain a random Silver Augment and 4 gold.
0,1-Silver,Silver Destiny++,,TFT_Augment_SilverDestinyPlusPlus,Gain a random Silver Augment and 7 gold.
0,1-Silver,Size Matters,,TFT_Augment_SizeMatters,"Gain a Giant's Belt. After a champion starts combat with more than [HealthRequired] max Health, gain a Warmog's Armor."
0,1-Silver,Slice of Life,,TFT_Augment_SliceOfLife,"Twice per stage, gain a random champion. Its cost increases by Stage. This effect ends after receiving 1 5-cost champion."
0,1-Silver,Slightly Magic Roll,,TFT_Augment_MagicRollMinus,Roll a die. Gain rewards based on the number rolled. Reward: [TFTUnitProperty.item:TFT_Augment_MagicRoll]
0,1-Silver,Small Grab Bag,,TFT_Augment_SmallGrabBag,Gain 2 random item components.
0,1-Silver,Splash Zone,,TFTTutorial_Augment_FrontRowMana1,Combat start: Your champions in the front 2 rows gain 20 Mana.
0,1-Silver,Stock Market,,TFT_Augment_StockMarket,"At the start of every stage, the cost of each unit tier shuffles."
0,1-Silver,Superstars I,,TFT_Augment_SuperstarsSilver,"Your team deals 5% more damage, increased by 1% for every 3-star champion on your team. Gain 2 rerolls. Bonus: [TFTUnitProperty.item:TFT_Augment_SuperstarsTotalDamageBonus]%"
0,1-Silver,Support Mining,,TFT_Augment_SupportMining,"Gain a Training Dummy. When it dies 8 times, gain a random Support Item and remove the Training Dummy."
0,1-Silver,Support Mining+,,TFT_Augment_SupportMiningPlus,"Gain a Training Dummy. When it dies 7 times, gain a random Support Item and remove the Training Dummy."
0,1-Silver,Survivor,,TFT_Augment_Survivor,"Gain 4 gold. After 3 players are eliminated, gain 100 more gold."
0,1-Silver,Swift Strike,,TFTTutorial_Augment_BackRowAS1,Combat start: Your champions in the back 2 rows gain 20 Attack Speed.
0,1-Silver,Table Scraps,,TFT_Augment_TableScraps,"After the next 2 carousels, gain one champion that was not taken and its item. Gain 1 gold."
0,1-Silver,The Tower,,TFT_Augment_TheTower,"Gain a giant Training Dummy with increased Health (increases with Stage). Every 4 seconds, it zaps the 3 nearest enemies dealing 5% max Health true damage."
0,1-Silver,Titanic Titan,,TFT_Augment_TitanicTitan,"Increase your current and max player Health by 25. On carousel rounds you are released earlier, but are much slower."
0,1-Silver,Twin Guardians,,TFT_Augment_TwinGuardians,"If you have exactly 2 allies in your first row, grant them 100 bonus Health, 35 Armor, and 35 Magic Resist."
6,1-Silver,Cybernetic Shell I,,TFT6_Augment_CyberneticShell1,Your champions holding an item gain 80 Health and 30 Armor.
6,1-Silver,Cybernetic Uplink I,,TFT6_Augment_CyberneticUplink1,Allies holding an item gain 80 Health and 2 Mana Regen. Gain a Tear of the Goddess.
6,1-Silver,Double Trouble I,,TFT6_Augment_Twins1,"When you field exactly 2 copies of a champion, they both gain 25% Attack Damage and 25% Ability Power, Armor, and Magic Resist. When you 3-star, gain a 2-star copy."
6,1-Silver,Electrocharge I,,TFT6_Augment_Electrocharge1,"Every 4 attacks an ally takes, they deal 30-90 (based on current Stage) magic damage to nearby enemies (1 second cooldown)."
6,1-Silver,Future Sight I,,TFT6_Augment_FuturePeepers,Know who you will fight next. Gain a Zephyr.
6,1-Silver,Keepers I,,TFT6_Augment_Keepers1,Combat start: Grant units with adjacent allies a 130 Health Shield for 8 seconds. This Shield stacks.
6,1-Silver,Luden's Echo I,,TFT6_Augment_LudensEcho1,"Every [ManaThreshold] Mana spent, your units next instance of Ability damage deals an additional 35-80 (based on current Stage) magic damage to the target and a nearby enemy."
6,1-Silver,"One, Two, Five!",,TFT6_Augment_OneTwoFive,"Gain 1 random component, 2 gold, and 1 random 5-cost champion."
6,1-Silver,Recombobulator,,TFT6_Augment_Recombobulator,Champions on your board permanently transform into random champions 1 cost tier higher (max 5). Gain 2 Magnetic Removers and 3 rerolls.
6,1-Silver,Second Wind,,TFT6_Augment_SecondWind1,"After 10 seconds of combat, your team heals 40% of their missing Health."
6,1-Silver,Tiny Titans,,TFT6_Augment_TinyTitans,Increase your current and max player health by [heal].
6,1-Silver,Tiny Titans,,TFT6_Augment_Legend_TinyTitans,Increase your current and max player health by [heal].
6,1-Silver,Tri Force I,,TFT6_Augment_TriForce1,"Your Tier 3 champions gain 150 Health, 10 starting Mana, and 10% Attack Speed."
7,1-Silver,AFK,,TFT7_Augment_AFK,"You cannot perform actions for the next 3 rounds. Afterwards, gain 17 gold."
7,1-Silver,AFK,,TFT7_Augment_Legend_AFK,"You cannot perform actions for the next 3 rounds. Afterwards, gain 17 gold."
7,1-Silver,Astral Crest,TFT7_Astral,TFT7_Augment_AstralEmblem,Gain an Astral Emblem and a Lux.
7,1-Silver,Astral Heart,TFT7_Astral,TFT7_Augment_AstralTrait,Your team counts as having 1 additional Astral. Gain a Lux.
7,1-Silver,Axiom Arc I,,TFT7_Augment_AxiomArc1,Your team gains 25 Mana on kill.
7,1-Silver,Best Friends I,,TFT7_Augment_BestFriends1,Allies isolated in pairs gain 10% Attack Speed and 9 Armor and Magic Resist at the start of combat.
7,1-Silver,Big Friend I,,TFT7_Augment_BigFriend,Allies that start combat next to an ally with over 1750 Health gain 10% Durability. Gain a Giant's Belt.
7,1-Silver,Cannoneer Heart,TFT7_Cannoneer,TFT7_Augment_CannoneerTrait,Your team counts as having 1 additional Cannoneer. Gain an Aphelios.
7,1-Silver,Cavalier Heart,TFT7_Cavalier,TFT7_Augment_CavalierTrait,Your team counts as having 1 additional Cavalier. Gain a Rell.
7,1-Silver,Consistency,,TFT7_Augment_Consistency,Gain double win and loss streak gold.
7,1-Silver,Cosmic Hemomancy,TFT7_Shimmerscale|TFT7_Guardian,TFT7_Augment_VladimirCarry,"Gain a Vladimir. Your strongest Vladimir becomes a Caster. He no longer Heals, but gains 2 range and every fourth cast damages enemies in an area around his target. Enemies damaged lose Magic Resist."
7,1-Silver,Dragonmancer Heart,TFT7_Dragonmancer,TFT7_Augment_DragonmancerTrait,Your team counts as having 1 additional Dragonmancer. Gain a Kai'Sa.
7,1-Silver,Evoker Heart,TFT7_Evoker,TFT7_Augment_EvokerTrait,Your team counts as having 1 additional Evoker. Gain a Zyra.
7,1-Silver,Guardian Heart,TFT7_Guardian,TFT7_Augment_GuardianTrait,Your team counts as having 1 additional Guardian. Gain a Zac.
7,1-Silver,Guild Heart,TFT7_Guild,TFT7_Augment_GuildTrait,Your team counts as having 1 additional Guild. Gain a Twitch.
7,1-Silver,Jade Crest,TFT7_Jade,TFT7_Augment_JadeEmblem,Gain a Jade Emblem and a Gnar.
7,1-Silver,Late Game Specialist,,TFT7_Augment_LategameSpecialist,"When you reach Level 9, gain 27 gold."
7,1-Silver,Mage Heart,TFT7_Mage,TFT7_Augment_MageTrait,Your team counts as having 1 additional Mage. Gain a Lillia.
7,1-Silver,Mirage Heart,TFT7_Mirage,TFT7_Augment_MirageTrait,Your team counts as having 1 additional Mirage. Gain a Yone.
7,1-Silver,Mystic Heart,TFT7_Mystic,TFT7_Augment_MysticTrait,Your team counts as having 1 additional Mystic. Gain a Rakan.
7,1-Silver,Preparation I,,TFT7_Augment_Preparation1HR,"Champions on your bench permanently gain 35 Health, 4% Attack Damage, and 4% Ability Power every round. Champions start with 1 stack of this effect, and can stack up to 3 times."
7,1-Silver,Preparation I,,TFT7_Augment_Preparation,"Champions on your bench permanently gain 30 Health, 3% Attack Damage, and 3% Ability Power every round. Champions start with 1 stack of this effect, and can stack up to 4 times."
7,1-Silver,Ragewing Heart,TFT7_Ragewing,TFT7_Augment_RagewingTrait,Your team counts as having 1 additional Ragewing. Gain a Rakan.
7,1-Silver,Revel Heart,TFT7_Revel,TFT7_Augment_RevelTrait,Your team counts as having 1 additional Revel. Gain a Jinx.
7,1-Silver,Scalescorn Heart,TFT7_Scalescorn,TFT7_Augment_ScalescornTrait,Your team counts as having 1 additional Scalescorn. Gain a Braum.
7,1-Silver,Shapeshifter Heart,TFT7_Shapeshifter,TFT7_Augment_ShapeshifterTrait,Your team counts as having 1 additional Shapeshifter. Gain a Gnar.
7,1-Silver,Shimmerscale Crest,TFT7_Shimmerscale,TFT7_Augment_ShimmerscaleEmblem,Gain a Shimmerscale Emblem and a Jax.
7,1-Silver,Soul Eater,TFT7_Shimmerscale|TFT7_Guardian,TFT7_Augment_NasusCarry,"Gain a Nasus. Your strongest Nasus becomes a Fighter. He now slams his staff on enemies, dealing physical damage. If this kills the enemy, Nasus gains permanent Attack Damage."
7,1-Silver,Swiftshot Heart,TFT7_Swiftshot,TFT7_Augment_SwiftshotTrait,Your team counts has having 1 additional Swiftshot. Gain a Twitch.
7,1-Silver,Tempest Heart,TFT7_Tempest,TFT7_Augment_TempestTrait,Your team counts as having 1 additional Tempest. Gain a Qiyana.
7,1-Silver,Warrior Heart,TFT7_Warrior,TFT7_Augment_WarriorTrait,Your team counts as having 1 additional Warrior. Gain a Yone.
7,1-Silver,Whispers Heart,TFT7_Whispers,TFT7_Augment_WhispersTrait,Your team counts as having 1 additional Whispers. Gain a Zyra.
9,1-Silver,All Natural I,,TFT9_Augment_AllNatural,Champions that aren't holding items gain [health] Health and heal for 0% of their max Health each second.
9,1-Silver,Balanced Budget,,TFT9_Augment_BalancedBudget,"At the start of the next 4 rounds, gain [gold] gold."
9,1-Silver,Battle Ready,,TFT9_Augment_BattleReady,Your team deals 3% more damage and takes 3% less damage.
9,1-Silver,Blistering Strikes,,TFT9_Augment_RedBuff,Your team's attacks Burn their targets for 5% of their max Health over 5 seconds. Attacks also reduce their targets' healing received by 33%.
9,1-Silver,Blood Money,,TFT9_Augment_BloodMoney,Gain 3 gold per 10 Health your Tactician loses.
9,1-Silver,Blood Price I,,TFT9_Augment_BloodPrice1,Your team gains 2.5% Attack Speed for each 10 missing player health.
9,1-Silver,Branching Out,,TFT9_Augment_Legend_BranchingOut,Gain a random Emblem.
9,1-Silver,Buried Treasures I,,TFT9_Augment_BuildingACollection,Gain a random item component now and at the start of the next 2 rounds.
9,1-Silver,Buried Treasures I,,TFT9_Augment_Legend_BuildingACollection,Gain a random item component now and at the start of the next 2 rounds.
9,1-Silver,Caretaker's Ally,,TFT9_Augment_BardPlaybook1,Gain a random 2-cost champion now. Gain the same one again every time you level up. Champion: [TFTUnitProperty.item:TFT_Augment_WorthTheWait]
9,1-Silver,Caretaker's Ally,,TFT9_Augment_Legend_BardPlaybook1,Gain a random 2-cost champion now. Gain the same one again every time you level up. Champion: [TFTUnitProperty.item:TFT_Augment_WorthTheWait]
9,1-Silver,Component Buffet,,TFT9_Augment_CustomerIsAlwaysRight,"Whenever you would get a component, gain a component anvil instead. Gain a random component now. The anvil offers 4 choices."
9,1-Silver,Cutting Corners,,TFT9_Augment_CuttingCorners,Leveling up costs 3 XP less.
9,1-Silver,Cutting Corners,,TFT9_Augment_Legend_CuttingCorners,Leveling up costs 3 XP less.
9,1-Silver,Cybernetic Bulk I,,TFT9_Augment_CyberneticBulk1,Your champions holding an item gain [health] Health.
9,1-Silver,Cybernetic Leech I,,TFT9_Augment_CyberneticLeech1,Champions holding an item gain [health] Health and [omnivamp]% Omnivamp.
9,1-Silver,Final Grab Bag,,TFT9_Augment_FinalGrabBag,"Gain a random component, 10 gold, and a Reforger."
9,1-Silver,Gotta Go Fast!,,TFT9_Augment_GottaGoFast,Your team creates 10% more Mana and moves 35% faster.
9,1-Silver,Harmacist I,,TFT9_Augment_Harmacist1,Your team has 10% Omnivamp and converts 20% of excess healing to true damage on their next attack. (Omnivamp: healing for a percent of damage dealt)
9,1-Silver,Healing Orbs I,,TFT9_Augment_HealingOrbsI,"When an enemy dies, the nearest ally is healed for 250."
9,1-Silver,Inconsistency,,TFT9_Augment_Inconsistency,"If your streak is less than 3, gain 2 gold."
9,1-Silver,Indomitable Will,,TFT9_Augment_IndomitableWill,"When your team scores a takedown, they shed all negative effects and become immune to crowd control for [duration] seconds."
9,1-Silver,Iron Assets,,TFT9_Augment_IronAssets,Gain a component anvil and 3 gold.
9,1-Silver,It Pays To Learn,,TFT9_Augment_ItPaysToLearn,Gain 10 XP and 8 gold.
9,1-Silver,Jeweled Lotus I,,TFT9_Augment_LesserJeweledLotus,Combat start: Your strongest unit gains 40% Critical Strike Chance and their abilities can critically strike.
9,1-Silver,Jeweled Lotus I,,TFT9_Augment_Legend_LesserJeweledLotus,Combat start: Your strongest unit gains 40% Critical Strike Chance and their abilities can critically strike.
9,1-Silver,Job's Done,,TFT9_Augment_Commander_SmallForgePlus,Gain 1 component anvil and 1 random component.
9,1-Silver,Knowledge Download I,,TFT9_Augment_Commander_Experience1,Gain 12 XP.
9,1-Silver,Latent Forge,,TFT9_Augment_LongTimeCraftingHR,"After [NumberOfCombats] player combats, gain an Artifact anvil. The anvil offers 4 choices. Artifacts are more powerful items with a unique effect."
9,1-Silver,Latent Forge,,TFT9_Augment_LongTimeCrafting,"After [NumberOfCombats] player combats, gain an Artifact anvil. The anvil offers 4 choices. Artifacts are more powerful items with a unique effect."
9,1-Silver,Latent Forge,,TFT9_Augment_Legend_LongTimeCrafting,"After [NumberOfCombats] player combats, gain an Artifact anvil. The anvil offers 4 choices. Artifacts are more powerful items with a unique effect."
9,1-Silver,Long Distance Pals,,TFT9_Augment_LongDistanceRelationship1,"Combat start: Your 2 units furthest from each other form a bond, sharing 20% of their Armor, Magic Resist, Attack Damage, and Ability Power with each other."
9,1-Silver,Missed Connections,,TFT9_Augment_MissedConnections,Gain a copy of each 1-cost champion.
9,1-Silver,Missing Link,,TFT9_Augment_Jackpot,"After you reroll your Shop 40 times, gain a copy of each 5-cost champion. (Rerolls this game: [TFTUnitProperty.item:TFT9_JackpotRolls])"
9,1-Silver,Money!,,TFT9_Augment_Commander_Money,"Gain [gold] gold. In 4 turns, gain [gold] gold again."
9,1-Silver,On a Roll,,TFT9_Augment_Legend_OnARoll,"Whenever you star up a champion, gain up to 3 free Shop rerolls per round. Gain 1 gold."
9,1-Silver,On a Roll,,TFT9_Augment_OnARoll,"Whenever you star up a champion, gain up to 3 free Shop rerolls per round. Gain 1 gold."
9,1-Silver,One Two Three,,TFT9_Augment_OneTwosThree,"Gain 2 1-cost champion, [numchamps] 2-cost champion, and 1 3-cost champion."
9,1-Silver,One Two Three,,TFT9_Augment_Legend_OneTwosThree,"Gain 2 1-cost champion, [numchamps] 2-cost champion, and 1 3-cost champion."
9,1-Silver,Parting Gifts,,TFT9_Augment_DangerousToGoAlone,"When a champion dies, the nearest ally with open slots receives a temporary copy of an item they were holding and a [shieldratio*100]% max Health Shield."
9,1-Silver,Pumping Up I,,TFT9_Augment_PumpingUpHR,"Your team gains 5% Attack Speed. After each round, they gain 1% more. (Current Attack Speed: [TFTUnitProperty.item:TFT9_PumpingUpRounds]%)"
9,1-Silver,Pumping Up I,,TFT9_Augment_PumpingUp,"Your team gains 6% Attack Speed. After each round, they gain 0.5% more. (Current Attack Speed: [TFTUnitProperty.item:TFT9_PumpingUpRounds]%)"
9,1-Silver,Pumping Up I,,TFT9_Augment_Legend_PumpingUp,"Your team gains 6% Attack Speed. After each round, they gain 0.5% more. (Current Attack Speed: [TFTUnitProperty.item:TFT9_PumpingUpRounds]%)"
